Version:,16.6
Comment:,Date/Time        : August 07, 2020  07:16:41 AM
Comment:,######################################################################
Comment:,Do not edit the following "States:" and "Columns:" lines.
Comment:,They are required for re-import into the spreadsheet.
Comment:,It is permitted to swap columns in this spreadsheet, as long as
Comment:,   1. the columns stay intact so that the State and Column pairs are the same, and
Comment:,   2. the column and state names themselves aren't changed.
Comment:
States:,,ELECTRICAL_CONSTRAINT_SET,PROPAGATION_DELAY_PATH_TYPE,PROPAGATION_DELAY_MIN,PROPAGATION_DELAY_MIN_ACTUAL,PROPAGATION_DELAY_MIN_MARGIN,PROPAGATION_DELAY_MAX,PROPAGATION_DELAY_MAX_ACTUAL,PROPAGATION_DELAY_MAX_MARGIN
Comment:,Groupings:,,,Prop Delay,,,Prop Delay,,
Columns:,Objects,Referenced Electrical CSet,Pin Pairs,Min,Actual,Margin,Max,Actual,Margin
Comment:,Units:,,,mil,,,mil,,
Diff Pair:,DIFFPAIR91,,All Drivers/All Receivers,1350.00 MIL,,7.17 MIL,,,
Net:,BANK13_AB24,,All Drivers/All Receivers,1350.00 MIL,,10.95 MIL,,,
Pin Pair:,U1.AB24:U4.56,,,1350.00 MIL,1360.95 MIL,10.95 MIL,,,
Net:,BANK13_AC24,,All Drivers/All Receivers,1350.00 MIL,,7.17 MIL,,,
Pin Pair:,U1.AC24:U4.55,,,1350.00 MIL,1357.17 MIL,7.17 MIL,,,
Diff Pair:,DIFFPAIR92,,All Drivers/All Receivers,1350.00 MIL,,1.52 MIL,,,
Net:,BANK13_U21,,All Drivers/All Receivers,1350.00 MIL,,1.52 MIL,,,
Pin Pair:,U1.U21:U4.46,,,1350.00 MIL,1351.52 MIL,1.52 MIL,,,
Net:,BANK13_V21,,All Drivers/All Receivers,1350.00 MIL,,3.26 MIL,,,
Pin Pair:,U1.V21:U4.45,,,1350.00 MIL,1353.26 MIL,3.26 MIL,,,
Diff Pair:,DIFFPAIR93,,All Drivers/All Receivers,1350.00 MIL,,1.68 MIL,,,
Net:,BANK13_V23,,All Drivers/All Receivers,1350.00 MIL,,3.8 MIL,,,
Pin Pair:,U1.V23:U4.48,,,1350.00 MIL,1353.80 MIL,3.8 MIL,,,
Net:,BANK13_W23,,All Drivers/All Receivers,1350.00 MIL,,1.68 MIL,,,
Pin Pair:,U1.W23:U4.47,,,1350.00 MIL,1351.68 MIL,1.68 MIL,,,
Diff Pair:,DIFFPAIR94,,All Drivers/All Receivers,1350.00 MIL,,3.61 MIL,,,
Net:,BANK13_Y22,,All Drivers/All Receivers,1350.00 MIL,,6.15 MIL,,,
Pin Pair:,U1.Y22:U4.50,,,1350.00 MIL,1356.15 MIL,6.15 MIL,,,
Net:,BANK13_Y23,,All Drivers/All Receivers,1350.00 MIL,,3.61 MIL,,,
Pin Pair:,U1.Y23:U4.49,,,1350.00 MIL,1353.61 MIL,3.61 MIL,,,
Diff Pair:,DIFFPAIR95,,All Drivers/All Receivers,1350.00 MIL,,6.65 MIL,,,
Net:,BANK13_W21,,All Drivers/All Receivers,1350.00 MIL,,6.65 MIL,,,
Pin Pair:,U1.W21:U4.54,,,1350.00 MIL,1356.65 MIL,6.65 MIL,,,
Net:,BANK13_Y21,,All Drivers/All Receivers,1350.00 MIL,,7.14 MIL,,,
Pin Pair:,U1.Y21:U4.53,,,1350.00 MIL,1357.14 MIL,7.14 MIL,,,
Diff Pair:,DIFFPAIR96,,All Drivers/All Receivers,1350.00 MIL,,2.29 MIL,,,
Net:,BANK13_AA25,,All Drivers/All Receivers,1350.00 MIL,,7.37 MIL,,,
Pin Pair:,U1.AA25:U4.51,,,1350.00 MIL,1357.37 MIL,7.37 MIL,,,
Net:,BANK13_Y25,,All Drivers/All Receivers,1350.00 MIL,,2.29 MIL,,,
Pin Pair:,U1.Y25:U4.52,,,1350.00 MIL,1352.29 MIL,2.29 MIL,,,
Net:,DDR_A0,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A1,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A2,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A3,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A4,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A5,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A6,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A7,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A8,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A9,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A10,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A11,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A12,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_A13,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_BA0,,All Drivers/All Receivers,1000.00 MIL,,,1200.00 MIL,,
Net:,DDR_BA1,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_BA2,,All Drivers/All Receivers,1000.00 MIL,,,1200.00 MIL,,
Net:,DDR_CAS,,All Drivers/All Receivers,1000.00 MIL,,,1200.00 MIL,,
Net:,DDR_CKE,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_CS,,All Drivers/All Receivers,100.00 MIL,,,,,
Net:,DDR_DQM0,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_DQM1,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D0,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D1,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D2,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D3,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D4,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D5,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D6,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D7,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D8,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D9,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D10,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D11,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D12,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D13,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D14,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_D15,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_ODT,,All Drivers/All Receivers,1000.00 MIL,,,,,
Net:,DDR_RAS,,All Drivers/All Receivers,1000.00 MIL,,,1200.00 MIL,,
Net:,DDR_RESETN,,All Drivers/All Receivers,100.00 MIL,,,,,
Net:,DDR_VREF,,,,,,,,
Net:,DDR_WE,,All Drivers/All Receivers,1000.00 MIL,,,1200.00 MIL,,
Net:,FPGA_CCLK,,,,,,,,
Net:,FPGA_CSO_B,,,,,,,,
Net:,FPGA_DONE,,,,,,,,
Net:,FPGA_DQ0,,,,,,,,
Net:,FPGA_DQ1,,,,,,,,
Net:,FPGA_DQ2,,,,,,,,
Net:,FPGA_DQ3,,,,,,,,
Net:,GND_POWER,,,,,,,,
Net:,IO_KEY_H19,,,,,,,,
Net:,IO_LED_J19,,,,,,,,
Net:,N17622651,,,,,,,,
Net:,N17622983,,,,,,,,
Net:,N17623429,,,,,,,,
Net:,N17655282,,,,,,,,
Net:,N17655324,,,,,,,,
Net:,N17655328,,,,,,,,
Net:,N17655348,,,,,,,,
Net:,N17655366,,,,,,,,
Net:,N17655370,,,,,,,,
Net:,N17655398,,,,,,,,
Net:,N17655418,,,,,,,,
Net:,N17659071,,,,,,,,
Net:,N17663075,,,,,,,,
Net:,N17663103,,,,,,,,
Net:,N17663139,,,,,,,,
Net:,N17663204,,,,,,,,
Net:,N17663230,,,,,,,,
Net:,N17765401,,,,,,,,
Net:,N17765427,,,,,,,,
Net:,N17775319,,,,,,,,
Net:,N17809304,,,,,,,,
Net:,PG_1V0,,,,,,,,
Net:,PG_1V8,,,,,,,,
Net:,PROG_B,,,,,,,,
Net:,SYS_CLK,,,,,,,,
Net:,TCK,,,,,,,,
Net:,TDI,,,,,,,,
Net:,TDO,,,,,,,,
Net:,TMS,,,,,,,,
Net:,VCCO_34_35,,,,,,,,
Net:,VIN_5V,,,,,,,,
Net:,1V0,,,,,,,,
Net:,1V8,,,,,,,,
Net:,1V35,,,,,,,,
Net:,3V3,,,,,,,,
